System,Q1 MRR@10,Q2 MRR@10,Q3 MRR@10
bm25_caption,0.890277,0.860859,0.39651
bm25_caption_context,0.79066,0.684314,0.763086
bge_caption,0.887998,0.861269,0.463127
bge_caption_context,0.835367,0.782247,0.742345
rrf_bm25_bge_k10,0.890166,0.847113,0.772374
rrf_bm25_bge_k30,0.890166,0.843936,0.768792
rrf_bm25_bge_k60,0.890166,0.842534,0.767597
rrf_bm25_bge_heavy_bm25,0.890233,0.85648,0.770563
rrf_bm25_bge_balanced,0.890166,0.842534,0.767597
rrf_bm25_bge_heavy_dense,0.888219,0.811014,0.758178
score_fusion_bm25_075_bge_025,0.892246,0.867664,0.778939
score_fusion_bm25_050_bge_050,0.89187,0.860006,0.779745
score_fusion_bm25_025_bge_075,0.891516,0.828243,0.765386
hybrid_plus_acronym_005,0.891229,0.854866,0.780097
hybrid_plus_acronym_010,0.889834,0.849414,0.780382
bm25_bge_clip_low_weight,0.83897,0.810032,0.735208
