milestone,system_id,method_family,text_input,image_input,fusion_type,query_set,recall@1,recall@2,recall@3,recall@5,recall@10,mrr@10,dup_recall@1,dup_recall@2,dup_recall@3,dup_recall@5,dup_recall@10,dup_mrr@10,num_queries,script_used,result_file_used,thesis_interpretation
M5.5,B1,hybrid text,Caption+Context,None,None,Q1,0.796601,0.962029,0,0.998141,1.0,0.890277,0.859798,0,0,0,0,0.924128,0,Derived,master_results.csv,
M5.5,B1,hybrid text,Caption+Context,None,None,Q2,0.756771,0.929102,0,0.986989,0.99522,0.860859,0.814126,0,0,0,0,0.892926,0,Derived,master_results.csv,
M5.5,B1,hybrid text,Caption+Context,None,None,Q3,0.300113,0.41502,0,0.521739,0.592885,0.39651,0.323264,0,0,0,0,0.410769,0,Derived,master_results.csv,
M5.5,B2,hybrid text,Caption+Context,None,None,Q1,0.665959,0.848911,0,0.950345,0.979554,0.79066,0.720393,0,0,0,0,0.823883,0,Derived,master_results.csv,
M5.5,B2,hybrid text,Caption+Context,None,None,Q2,0.552576,0.729421,0,0.861922,0.90547,0.684314,0.594796,0,0,0,0,0.714006,0,Derived,master_results.csv,
M5.5,B2,hybrid text,Caption+Context,None,None,Q3,0.630435,0.819876,0,0.932806,0.970638,0.763086,0.67476,0,0,0,0,0.786971,0,Derived,master_results.csv,
M5.5,D1,hybrid text,Caption+Context,None,None,Q1,0.793415,0.958311,0,0.998141,1.0,0.887998,0.854488,0,0,0,0,0.920654,0,Derived,master_results.csv,
M5.5,D1,hybrid text,Caption+Context,None,None,Q2,0.761551,0.925119,0,0.981944,0.991768,0.861269,0.819172,0,0,0,0,0.89259,0,Derived,master_results.csv,
M5.5,D1,hybrid text,Caption+Context,None,None,Q3,0.362789,0.481649,0,0.599661,0.658103,0.463127,0.392151,0,0,0,0,0.480547,0,Derived,master_results.csv,
M5.5,D2,hybrid text,Caption+Context,None,None,Q1,0.720393,0.905204,0,0.974774,0.98991,0.835367,0.779341,0,0,0,0,0.869985,0,Derived,master_results.csv,
M5.5,D2,hybrid text,Caption+Context,None,None,Q2,0.661445,0.846522,0,0.933086,0.958577,0.782247,0.712958,0,0,0,0,0.813694,0,Derived,master_results.csv,
M5.5,D2,hybrid text,Caption+Context,None,None,Q3,0.614342,0.793619,0,0.910785,0.94664,0.742345,0.659232,0,0,0,0,0.766608,0,Derived,master_results.csv,
M5.5,H1c_k10,hybrid text,Caption+Context,None,None,Q1,0.776155,0.948221,0,0.994955,0.999734,0.876538,0.838024,0,0,0,0,0.911083,0,Derived,master_results.csv,
M5.5,H1c_k10,hybrid text,Caption+Context,None,None,Q2,0.744822,0.925119,0,0.988317,0.997876,0.854761,0.806957,0,0,0,0,0.890408,0,Derived,master_results.csv,
M5.5,H1c_k10,hybrid text,Caption+Context,None,None,Q3,0.509317,0.700452,0,0.856296,0.938171,0.659668,0.54856,0,0,0,0,0.682393,0,Derived,master_results.csv,
M5.5,H1c_k30,hybrid text,Caption+Context,None,None,Q1,0.780935,0.944238,0,0.992831,0.999203,0.877745,0.842539,0,0,0,0,0.912265,0,Derived,master_results.csv,
M5.5,H1c_k30,hybrid text,Caption+Context,None,None,Q2,0.739777,0.911312,0,0.979554,0.994158,0.847677,0.802177,0,0,0,0,0.884175,0,Derived,master_results.csv,
M5.5,H1c_k30,hybrid text,Caption+Context,None,None,Q3,0.478826,0.645116,0,0.789949,0.883964,0.615684,0.516093,0,0,0,0,0.636813,0,Derived,master_results.csv,
M5.5,H1c_k60,hybrid text,Caption+Context,None,None,Q1,0.779341,0.94291,0,0.992034,0.998141,0.876337,0.840945,0,0,0,0,0.910976,0,Derived,master_results.csv,
M5.5,H1c_k60,hybrid text,Caption+Context,None,None,Q2,0.733935,0.906001,0,0.974509,0.991237,0.842289,0.79607,0,0,0,0,0.879151,0,Derived,master_results.csv,
M5.5,H1c_k60,hybrid text,Caption+Context,None,None,Q3,0.468944,0.621965,0,0.755788,0.843309,0.595302,0.505647,0,0,0,0,0.61595,0,Derived,master_results.csv,
