row_id,raw_image_path_from_csv,resolved_image_path,exists,file_size_bytes,issue
0,/data/all_images/image_0.png,/DATA5/prabhakar/telecom/extracted_images/images/image_0.png,True,25440,
1,/data/all_images/image_1.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_1.jpeg,True,30505,
2,/data/all_images/image_2.png,/DATA5/prabhakar/telecom/extracted_images/images/image_2.png,True,30477,
3,/data/all_images/image_3.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_3.jpeg,True,45393,
4,/data/all_images/image_4.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_4.jpeg,True,42179,
5,/data/all_images/image_5.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_5.jpeg,True,37644,
6,/data/all_images/image_6.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_6.jpeg,True,69859,
7,/data/all_images/image_7.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_7.jpeg,True,22537,
8,/data/all_images/image_8.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_8.jpeg,True,73564,
9,/data/all_images/image_9.png,/DATA5/prabhakar/telecom/extracted_images/images/image_9.png,True,34956,
10,/data/all_images/image_10.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_10.jpeg,True,72130,
11,/data/all_images/image_11.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_11.jpeg,True,71001,
12,/data/all_images/image_12.png,/DATA5/prabhakar/telecom/extracted_images/images/image_12.png,True,54799,
13,/data/all_images/image_13.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_13.jpeg,True,45451,
14,/data/all_images/image_14.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_14.jpeg,True,53818,
15,/data/all_images/image_15.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_15.jpeg,True,49137,
16,/data/all_images/image_16.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_16.jpeg,True,56288,
17,/data/all_images/image_17.png,/DATA5/prabhakar/telecom/extracted_images/images/image_17.png,True,31013,
18,/data/all_images/image_18.png,/DATA5/prabhakar/telecom/extracted_images/images/image_18.png,True,41761,
19,/data/all_images/image_19.png,/DATA5/prabhakar/telecom/extracted_images/images/image_19.png,True,46914,
20,/data/all_images/image_20.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_20.jpeg,True,21210,
21,/data/all_images/image_21.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_21.jpeg,True,22167,
22,/data/all_images/image_22.png,/DATA5/prabhakar/telecom/extracted_images/images/image_22.png,True,20529,
23,/data/all_images/image_23.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_23.jpeg,True,24546,
24,/data/all_images/image_24.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_24.jpeg,True,22570,
25,/data/all_images/image_25.png,/DATA5/prabhakar/telecom/extracted_images/images/image_25.png,True,27263,
26,/data/all_images/image_26.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_26.jpeg,True,21045,
27,/data/all_images/image_27.png,/DATA5/prabhakar/telecom/extracted_images/images/image_27.png,True,53837,
28,/data/all_images/image_28.png,/DATA5/prabhakar/telecom/extracted_images/images/image_28.png,True,48779,
29,/data/all_images/image_29.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_29.jpeg,True,62128,
30,/data/all_images/image_30.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_30.jpeg,True,23741,
31,/data/all_images/image_31.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_31.jpeg,True,24327,
32,/data/all_images/image_32.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_32.jpeg,True,29353,
33,/data/all_images/image_33.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_33.jpeg,True,31083,
34,/data/all_images/image_34.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_34.jpeg,True,36125,
35,/data/all_images/image_35.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_35.jpeg,True,33171,
36,/data/all_images/image_36.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_36.jpeg,True,153778,
37,/data/all_images/image_37.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_37.jpeg,True,145770,
38,/data/all_images/image_38.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_38.jpeg,True,151207,
39,/data/all_images/image_39.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_39.jpeg,True,146487,
40,/data/all_images/image_40.png,/DATA5/prabhakar/telecom/extracted_images/images/image_40.png,True,34333,
41,/data/all_images/image_41.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_41.jpeg,True,34206,
42,/data/all_images/image_42.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_42.jpeg,True,25308,
43,/data/all_images/image_43.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_43.jpeg,True,33548,
44,/data/all_images/image_44.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_44.jpeg,True,23252,
